window,start time,end time
script1.py - ttracker - Visual Studio Code,2023-12-15 11:51:08,2023-12-15 11:51:11
Search,2023-12-15 11:51:11,2023-12-15 11:51:12
script1.py - ttracker - Visual Studio Code,2023-12-15 11:51:12,2023-12-15 11:51:19
reader1.py - ttracker - Visual Studio Code,2023-12-15 11:51:19,2023-12-15 11:51:32
ChatGPT - Google Chrome,2023-12-15 11:51:32,2023-12-15 11:51:36
reader1.py - ttracker - Visual Studio Code,2023-12-15 11:51:36,2023-12-15 11:51:37
ChatGPT - Google Chrome,2023-12-15 11:51:37,2023-12-15 11:51:40
Search,2023-12-15 11:51:40,2023-12-15 11:51:41
WhatsApp,2023-12-15 11:51:41,2023-12-15 11:51:56
ChatGPT - Google Chrome,2023-12-15 11:51:56,2023-12-15 11:52:21
WhatsApp,2023-12-15 11:52:21,2023-12-15 11:52:22
extract date from datetime python - Google Search - Google Chrome,2023-12-15 11:52:22,2023-12-15 11:52:24
ChatGPT - Google Chrome,2023-12-15 11:52:24,2023-12-15 11:52:25
Task Switching,2023-12-15 11:52:25,2023-12-15 11:52:26
reader1.py - ttracker - Visual Studio Code,2023-12-15 11:52:26,2023-12-15 11:52:30
Search,2023-12-15 11:52:30,2023-12-15 11:52:31
reader1.py - ttracker - Visual Studio Code,2023-12-15 11:52:31,2023-12-15 11:52:32
Windows Default Lock Screen,2023-12-15 11:52:32,2023-12-15 11:55:01
,2023-12-15 11:55:01,2023-12-15 11:55:09
reader1.py - ttracker - Visual Studio Code,2023-12-15 11:55:09,2023-12-15 11:55:15
Task Switching,2023-12-15 11:55:15,2023-12-15 11:55:17
Search,2023-12-15 11:55:17,2023-12-15 11:55:18
Jump List for PotPlayer 64 bit,2023-12-15 11:55:18,2023-12-15 11:55:22
Realtek Audio Console,2023-12-15 11:55:22,2023-12-15 11:55:26
New notification,2023-12-15 11:55:26,2023-12-15 11:55:28
Jump List for PotPlayer 64 bit,2023-12-15 11:55:28,2023-12-15 11:55:29
reader1.py - ttracker - Visual Studio Code,2023-12-15 11:55:29,2023-12-15 11:55:30
New notification,2023-12-15 11:55:30,2023-12-15 11:55:31
reader1.py - ttracker - Visual Studio Code,2023-12-15 11:55:31,2023-12-15 11:55:49
Task Switching,2023-12-15 11:55:49,2023-12-15 11:55:51
Command Prompt - py  script1.py,2023-12-15 11:55:58,2023-12-15 11:55:59
Command Prompt,2023-12-15 11:55:59,2023-12-15 11:56:01
Command Prompt - py  reader1.py,2023-12-15 11:56:01,2023-12-15 11:56:02
Command Prompt - py  script1.py,2023-12-15 11:56:02,2023-12-15 11:56:03
Command Prompt - py  reader1.py,2023-12-15 11:56:03,2023-12-15 11:56:06
Search,2023-12-15 11:56:06,2023-12-15 11:56:08
Type of Python Variables - Google Chrome,2023-12-15 11:56:08,2023-12-15 11:56:09
Passionfruit - YouTube Music - Google Chrome,2023-12-15 11:56:09,2023-12-15 11:56:10
YouTube Music - Google Chrome,2023-12-15 11:56:10,2023-12-15 11:56:12
Type of Python Variables - Google Chrome,2023-12-15 11:56:12,2023-12-15 11:56:13
Jump List for PotPlayer 64 bit,2023-12-15 11:56:13,2023-12-15 11:56:14
,2023-12-15 11:56:14,2023-12-15 11:56:15
PotPlayer,2023-12-15 11:56:15,2023-12-15 11:56:16
Hannibal (2013) - S01E01 - Apéritif (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 11:56:16,2023-12-15 11:56:18
PotPlayer,2023-12-15 11:56:18,2023-12-15 11:56:19
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 11:56:19,2023-12-15 11:59:25
WhatsApp,2023-12-15 11:59:25,2023-12-15 11:59:26
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 11:59:26,2023-12-15 12:04:19
WhatsApp,2023-12-15 12:04:19,2023-12-15 12:04:20
,2023-12-15 12:04:20,2023-12-15 12:04:43
Command Prompt - py  reader1.py,2023-12-15 12:04:43,2023-12-15 12:04:45
Hannibal (2013) - S01E02 - Amuse-Bouche (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 12:04:45,2023-12-15 12:05:09
Hannibal (2013) - S01E03 - Potage (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 12:05:09,2023-12-15 12:05:34
Search,2023-12-15 12:05:34,2023-12-15 12:05:35
Dolby Access,2023-12-15 12:05:35,2023-12-15 12:05:42
Hannibal (2013) - S01E03 - Potage (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 12:05:42,2023-12-15 12:09:03
,2023-12-15 12:09:03,2023-12-15 12:09:04
Command Prompt - py  reader1.py,2023-12-15 12:09:04,2023-12-15 12:09:05
Hannibal (2013) - S01E03 - Potage (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 12:09:05,2023-12-15 12:10:02
Task Switching,2023-12-15 12:10:02,2023-12-15 12:10:03
Command Prompt - py  reader1.py,2023-12-15 12:10:03,2023-12-15 12:10:05
Command Prompt - py  script1.py,2023-12-15 12:10:05,2023-12-15 12:10:06
Command Prompt - py  reader1.py,2023-12-15 12:10:06,2023-12-15 12:10:07
Task Switching,2023-12-15 12:10:07,2023-12-15 12:10:09
Command Prompt - py  reader1.py,2023-12-15 12:10:09,2023-12-15 12:10:19
,2023-12-15 12:10:19,2023-12-15 12:10:20
Dolby Access,2023-12-15 12:10:20,2023-12-15 12:10:23
Type of Python Variables - Google Chrome,2023-12-15 12:10:23,2023-12-15 12:10:24
Hannibal (2013) - S01E03 - Potage (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 12:10:24,2023-12-15 12:10:25
Type of Python Variables - Google Chrome,2023-12-15 12:10:25,2023-12-15 12:10:27
Task Switching,2023-12-15 12:10:27,2023-12-15 12:10:29
reader1.py - ttracker - Visual Studio Code,2023-12-15 12:10:29,2023-12-15 12:10:31
Hannibal (2013) - S01E03 - Potage (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 12:10:31,2023-12-15 12:10:32
WhatsApp,2023-12-15 12:10:32,2023-12-15 12:10:45
Task Switching,2023-12-15 12:10:45,2023-12-15 12:10:47
Hannibal (2013) - S01E03 - Potage (1080p BluRay x265 RCVR).mkv - PotPlayer,2023-12-15 12:10:47,2023-12-15 12:10:53
Task Switching,2023-12-15 12:10:53,2023-12-15 12:10:55
reader1.py - ttracker - Visual Studio Code,2023-12-15 12:10:55,INF
